Threadname, Real, User, Sys
Main, 0.870714, 1.954921, 11.471604
Thread0, 0.844898, 0.104735, 0.739401
Thread1, 0.477155, 0.150600, 0.326454
Thread2, 0.846645, 0.103739, 0.742242
Thread3, 0.870451, 0.107783, 0.762315
Thread4, 0.845517, 0.099901, 0.744994
Thread5, 0.849308, 0.119857, 0.729057
Thread6, 0.844493, 0.125939, 0.717926
Thread7, 0.634960, 0.127941, 0.506859
Thread8, 0.848488, 0.106915, 0.740859
Thread9, 0.845251, 0.107909, 0.736811
Thread10, 0.842687, 0.123886, 0.717793
Thread11, 0.843913, 0.102506, 0.741111
Thread12, 0.843268, 0.119501, 0.722954
Thread13, 0.845591, 0.092527, 0.753039
Thread14, 0.843449, 0.102895, 0.739729
Thread15, 0.846554, 0.119876, 0.725858
Thread16, 0.452827, 0.133574, 0.318940
