Threadname, Real, User, Sys
Main, 0.645315, 2.175956, 6.059080
Thread0, 0.644698, 0.144116, 0.500070
Thread1, 0.474263, 0.161033, 0.312303
Thread2, 0.638223, 0.152109, 0.485159
Thread3, 0.643860, 0.139042, 0.504097
Thread4, 0.633908, 0.176326, 0.456918
Thread5, 0.488314, 0.175004, 0.313088
Thread6, 0.640127, 0.143188, 0.496830
Thread7, 0.621969, 0.138192, 0.482823
Thread8, 0.622709, 0.130249, 0.491670
Thread9, 0.622508, 0.140318, 0.481650
Thread10, 0.451179, 0.171214, 0.279635
Thread11, 0.640077, 0.168342, 0.471420
Thread12, 0.482592, 0.184243, 0.297633
Thread13, 0.629548, 0.147321, 0.481453
