Threadname, Real, User, Sys
Main, 0.654078, 2.673541, 11.512218
Thread0, 0.653224, 0.153697, 0.498565
Thread1, 0.288755, 0.105686, 0.182743
Thread2, 0.631766, 0.127789, 0.503743
Thread3, 0.643113, 0.120000, 0.522476
Thread4, 0.281838, 0.100109, 0.181317
Thread5, 0.630777, 0.130025, 0.500292
Thread6, 0.642108, 0.099997, 0.541237
Thread7, 0.642945, 0.123003, 0.519183
Thread8, 0.545723, 0.113659, 0.431436
Thread9, 0.648114, 0.100838, 0.547112
Thread10, 0.641170, 0.094705, 0.546291
Thread11, 0.633771, 0.101857, 0.531212
Thread12, 0.639928, 0.118665, 0.520324
Thread13, 0.644210, 0.123016, 0.520767
Thread14, 0.628855, 0.116012, 0.511927
Thread15, 0.644330, 0.126003, 0.518132
Thread16, 0.615825, 0.090935, 0.523888
Thread17, 0.638114, 0.091945, 0.545873
Thread18, 0.639711, 0.113898, 0.524864
Thread19, 0.285974, 0.087829, 0.197818
Thread20, 0.644493, 0.105933, 0.537776
Thread21, 0.647612, 0.112890, 0.533684
Thread22, 0.634360, 0.111890, 0.521656
Thread23, 0.638153, 0.099901, 0.537557
