Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.152781, 0.026333, 0.132905, 0.173918, 0.039118, 0.147638
Thread1, 0.088345, 0.021873, 0.080102, 0.092224, 0.020982, 0.064008
Thread2, 0.155102, 0.016996, 0.138742, 0.171022, 0.039969, 0.141029
Thread3, 0.149462, 0.017877, 0.124111, 0.158473, 0.022028, 0.128967
Thread4, 0.088280, 0.025918, 0.061077, 0.092605, 0.023078, 0.074913
Thread5, 0.153878, 0.015045, 0.130250, 0.184545, 0.049661, 0.148991
Thread6, 0.155511, 0.016959, 0.129002, 0.190496, 0.047921, 0.128233
Thread7, 0.152784, 0.019022, 0.123967, 0.176940, 0.037893, 0.142082
Thread8, 0.154333, 0.015041, 0.122392, 0.182702, 0.046943, 0.157790
Thread9, 0.155768, 0.015981, 0.136632, 0.180364, 0.040963, 0.150255
Thread10, 0.156479, 0.025987, 0.133990, 0.171962, 0.031974, 0.131008
Thread11, 0.149875, 0.006008, 0.135988, 0.177485, 0.038785, 0.134227
Thread12, 0.148632, 0.023988, 0.120980, 0.172608, 0.039906, 0.127087
Thread13, 0.154503, 0.020083, 0.149177, 0.183811, 0.048687, 0.123256
Thread14, 0.148754, 0.010027, 0.134724, 0.174086, 0.035816, 0.125797
Thread15, 0.158677, 0.022908, 0.143960, 0.168894, 0.029648, 0.141926
Thread16, 0.087824, 0.030310, 0.087687, 0.092127, 0.020935, 0.061042
Thread17, 0.152199, 0.019984, 0.138980, 0.165661, 0.030881, 0.137239
Thread18, 0.087732, 0.021884, 0.057115, 0.092564, 0.022769, 0.081220
Thread19, 0.154834, 0.021970, 0.154931, 0.173657, 0.031862, 0.120385
Thread20, 0.087992, 0.017917, 0.069291, 0.092509, 0.019756, 0.077230
Thread21, 0.152272, 0.021982, 0.125605, 0.169053, 0.028913, 0.128306
Thread22, 0.133488, 0.028998, 0.106989, 0.143962, 0.035038, 0.108208
Thread23, 0.089346, 0.016835, 0.082163, 0.092848, 0.023919, 0.058072
Thread24, 0.152626, 0.020967, 0.124015, 0.174275, 0.031969, 0.138736
Thread25, 0.087745, 0.016948, 0.065995, 0.092808, 0.030001, 0.081976
Thread26, 0.153148, 0.026025, 0.112262, 0.172790, 0.037810, 0.132633
Thread27, 0.089224, 0.031984, 0.060005, 0.094696, 0.023006, 0.065984
Thread28, 0.154827, 0.016985, 0.141855, 0.176050, 0.032034, 0.133271
Thread29, 0.089485, 0.011857, 0.062841, 0.095911, 0.029003, 0.065993
Thread30, 0.154923, 0.021986, 0.153866, 0.175384, 0.042708, 0.127983
Thread31, 0.153719, 0.016924, 0.128871, 0.184408, 0.042921, 0.145157
Thread32, 0.088068, 0.022975, 0.068532, 0.092362, 0.025004, 0.072987
