Threadname, Real, User, Sys
Main, 0.640184, 2.709762, 14.998856
Thread0, 0.618915, 0.087727, 0.529329
Thread1, 0.344857, 0.064860, 0.279039
Thread2, 0.628498, 0.080868, 0.546958
Thread3, 0.595266, 0.065901, 0.529028
Thread4, 0.346806, 0.078783, 0.267190
Thread5, 0.626595, 0.088931, 0.536849
Thread6, 0.639533, 0.095918, 0.542751
Thread7, 0.624859, 0.091925, 0.532759
Thread8, 0.628977, 0.098795, 0.529841
Thread9, 0.633534, 0.081785, 0.550736
Thread10, 0.625388, 0.090765, 0.533668
Thread11, 0.616784, 0.070812, 0.545738
Thread12, 0.609128, 0.092776, 0.515642
Thread13, 0.632703, 0.093836, 0.538623
Thread14, 0.608620, 0.071867, 0.536657
Thread15, 0.631126, 0.086898, 0.543569
Thread16, 0.345824, 0.083785, 0.261607
Thread17, 0.611605, 0.073886, 0.537411
Thread18, 0.345265, 0.069821, 0.274465
Thread19, 0.622937, 0.079798, 0.541821
Thread20, 0.346458, 0.054841, 0.291340
Thread21, 0.615609, 0.094830, 0.520249
Thread22, 0.532990, 0.093801, 0.438258
Thread23, 0.347644, 0.074764, 0.272260
Thread24, 0.622712, 0.081955, 0.539937
Thread25, 0.345430, 0.066958, 0.277955
Thread26, 0.623920, 0.097939, 0.525842
Thread27, 0.352677, 0.101924, 0.249880
Thread28, 0.627027, 0.082925, 0.543764
Thread29, 0.351075, 0.067907, 0.282767
Thread30, 0.627104, 0.085915, 0.540647
Thread31, 0.631520, 0.078903, 0.551533
Thread32, 0.346066, 0.071873, 0.273603
