Threadname, Real, User, Sys
Main, 1.023675, 2.666138, 21.948216
Thread0, 0.716094, 0.096011, 0.598014
Thread1, 0.646533, 0.102893, 0.543116
Thread2, 0.991159, 0.087969, 0.902895
Thread3, 0.976843, 0.087069, 0.888771
Thread4, 0.970702, 0.088131, 0.881715
Thread5, 1.013815, 0.111162, 0.901592
Thread6, 1.015622, 0.126155, 0.888335
Thread7, 0.974995, 0.097143, 0.877555
Thread8, 1.022838, 0.139055, 0.883134
Thread9, 1.011977, 0.111059, 0.900283
Thread10, 1.003363, 0.106083, 0.896518
Thread11, 0.983206, 0.097084, 0.885563
Thread12, 0.987171, 0.109982, 0.876494
Thread13, 0.977062, 0.102073, 0.874468
Thread14, 0.990681, 0.075034, 0.915559
Thread15, 0.620389, 0.069977, 0.549491
Thread16, 1.005239, 0.077074, 0.927295
Thread17, 1.002460, 0.086098, 0.916257
Thread18, 0.995976, 0.114121, 0.881171
Thread19, 0.988755, 0.102084, 0.886114
Thread20, 0.994579, 0.096076, 0.898068
Thread21, 1.021475, 0.117088, 0.903889
Thread22, 0.807213, 0.090078, 0.716942
Thread23, 0.996875, 0.104056, 0.891722
Thread24, 0.651703, 0.083018, 0.560295
Thread25, 0.643863, 0.097117, 0.545809
Thread26, 0.631025, 0.087105, 0.543797
