Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.212450, 0.028989, 0.179002, 0.220522, 0.030713, 0.202243
Thread1, 0.126677, 0.042022, 0.089002, 0.132629, 0.037827, 0.092901
Thread2, 0.213078, 0.019696, 0.191322, 0.223132, 0.048886, 0.188387
Thread3, 0.218916, 0.024044, 0.203204, 0.230710, 0.029978, 0.180691
Thread4, 0.213364, 0.040819, 0.171378, 0.224168, 0.030912, 0.196333
Thread5, 0.213809, 0.028862, 0.175860, 0.226242, 0.041788, 0.164448
Thread6, 0.212436, 0.030762, 0.173517, 0.225957, 0.042072, 0.195610
Thread7, 0.160557, 0.029788, 0.129052, 0.173145, 0.043011, 0.128013
Thread8, 0.214361, 0.026084, 0.179627, 0.225265, 0.048726, 0.187433
Thread9, 0.214274, 0.026988, 0.171965, 0.220433, 0.038008, 0.210678
Thread10, 0.213734, 0.028992, 0.193975, 0.221127, 0.039838, 0.168154
Thread11, 0.214031, 0.022939, 0.188298, 0.220751, 0.035003, 0.198231
Thread12, 0.211901, 0.027997, 0.202967, 0.225342, 0.040365, 0.162103
Thread13, 0.214222, 0.016931, 0.176274, 0.221730, 0.031925, 0.185324
Thread14, 0.213517, 0.032963, 0.197750, 0.223905, 0.032994, 0.161475
Thread15, 0.213246, 0.031070, 0.164902, 0.224415, 0.048570, 0.206449
Thread16, 0.117169, 0.034750, 0.084244, 0.124433, 0.047565, 0.081647
