Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.156373, 0.036816, 0.125152, 0.172537, 0.037992, 0.123984
Thread1, 0.088136, 0.022997, 0.050849, 0.094728, 0.028006, 0.071988
Thread2, 0.155407, 0.038880, 0.130119, 0.165198, 0.042839, 0.108242
Thread3, 0.146410, 0.026872, 0.115917, 0.155952, 0.025814, 0.135983
Thread4, 0.148668, 0.020012, 0.131968, 0.159362, 0.043076, 0.130734
Thread5, 0.154935, 0.025008, 0.111168, 0.169331, 0.045844, 0.142741
Thread6, 0.155618, 0.025992, 0.117986, 0.169302, 0.048617, 0.133026
Thread7, 0.156347, 0.035464, 0.125560, 0.170165, 0.041949, 0.104028
Thread8, 0.146482, 0.033267, 0.122735, 0.158413, 0.025310, 0.131120
Thread9, 0.122687, 0.048929, 0.089063, 0.129781, 0.032015, 0.087942
Thread10, 0.147055, 0.021018, 0.138490, 0.155804, 0.024676, 0.122302
Thread11, 0.147399, 0.026529, 0.129527, 0.158441, 0.040104, 0.126896
Thread12, 0.151893, 0.029467, 0.118651, 0.163396, 0.032218, 0.125953
Thread13, 0.150319, 0.030057, 0.120220, 0.167663, 0.051044, 0.124114
Thread14, 0.083110, 0.036943, 0.061066, 0.091625, 0.032995, 0.055989
Thread15, 0.148847, 0.036822, 0.122320, 0.155025, 0.028777, 0.098212
Thread16, 0.146416, 0.031125, 0.109670, 0.157611, 0.034907, 0.120098
Thread17, 0.146839, 0.024978, 0.112012, 0.155703, 0.032945, 0.122055
Thread18, 0.147640, 0.022892, 0.129103, 0.156828, 0.026786, 0.131195
Thread19, 0.147591, 0.024021, 0.118775, 0.153756, 0.033962, 0.104014
