Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.199499, 0.055013, 0.171799, 0.208998, 0.047755, 0.152960
Thread1, 0.188682, 0.026007, 0.141244, 0.199185, 0.044960, 0.161845
Thread2, 0.172827, 0.033955, 0.111782, 0.180615, 0.056886, 0.124096
Thread3, 0.168871, 0.037010, 0.128991, 0.178120, 0.051752, 0.132708
Thread4, 0.189203, 0.030221, 0.119976, 0.202696, 0.063122, 0.165667
Thread5, 0.163948, 0.038684, 0.108958, 0.172581, 0.036040, 0.142745
Thread6, 0.198435, 0.036629, 0.160668, 0.209265, 0.054399, 0.143935
Thread7, 0.198456, 0.047032, 0.139270, 0.214360, 0.051705, 0.165278
Thread8, 0.186420, 0.026901, 0.150076, 0.195094, 0.044703, 0.141294
Thread9, 0.185733, 0.041956, 0.121015, 0.194512, 0.044929, 0.163869
Thread10, 0.186111, 0.038379, 0.144595, 0.194379, 0.048333, 0.173640
Thread11, 0.167235, 0.033031, 0.101839, 0.175727, 0.047711, 0.136442
Thread12, 0.185883, 0.037977, 0.143019, 0.200146, 0.035999, 0.176992
Thread13, 0.184271, 0.037906, 0.149096, 0.196976, 0.040869, 0.143275
Thread14, 0.185861, 0.040839, 0.131159, 0.193510, 0.042908, 0.143862
