Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.148613, 0.036190, 0.117786, 0.170546, 0.049067, 0.109918
Thread1, 0.133227, 0.036323, 0.084669, 0.137079, 0.035572, 0.082407
Thread2, 0.152456, 0.027977, 0.103022, 0.165806, 0.054996, 0.109984
Thread3, 0.154838, 0.053997, 0.115973, 0.165388, 0.046953, 0.097909
Thread4, 0.161655, 0.050990, 0.114981, 0.174267, 0.063889, 0.111110
Thread5, 0.164545, 0.053991, 0.117974, 0.178176, 0.058294, 0.112814
Thread6, 0.148535, 0.028999, 0.103985, 0.159758, 0.053894, 0.104977
Thread7, 0.152401, 0.029010, 0.107973, 0.161245, 0.051651, 0.110974
Thread8, 0.149507, 0.036268, 0.117528, 0.158194, 0.038704, 0.108135
Thread9, 0.147947, 0.035836, 0.120165, 0.158335, 0.052961, 0.097894
Thread10, 0.161226, 0.032287, 0.119815, 0.172121, 0.056665, 0.118834
Thread11, 0.152553, 0.035713, 0.102732, 0.163238, 0.053019, 0.116966
Thread12, 0.158527, 0.041364, 0.109756, 0.170133, 0.044580, 0.121001
