Threadname, Real, User, Sys
Main, 0.993163, 2.562124, 23.703854
Thread0, 0.990827, 0.116069, 0.873632
Thread1, 0.669939, 0.082986, 0.586861
Thread2, 0.991286, 0.092033, 0.898685
Thread3, 0.982040, 0.092069, 0.889561
Thread4, 0.986235, 0.122169, 0.863457
Thread5, 0.673515, 0.082014, 0.590616
Thread6, 0.961250, 0.079069, 0.881389
Thread7, 0.831453, 0.081011, 0.749449
Thread8, 0.985722, 0.086938, 0.898269
Thread9, 0.985363, 0.119956, 0.864055
Thread10, 0.992412, 0.103947, 0.888229
Thread11, 0.981573, 0.084921, 0.896215
Thread12, 0.699459, 0.057914, 0.640555
Thread13, 0.989500, 0.100004, 0.889094
Thread14, 0.945654, 0.080015, 0.865167
Thread15, 0.936279, 0.080042, 0.856146
Thread16, 0.975172, 0.082062, 0.892191
Thread17, 0.970700, 0.091074, 0.879026
Thread18, 0.980037, 0.086051, 0.892797
Thread19, 0.978388, 0.084045, 0.893949
Thread20, 0.974969, 0.106089, 0.868657
Thread21, 0.982815, 0.105152, 0.876505
Thread22, 0.946102, 0.088130, 0.857507
Thread23, 0.949142, 0.088120, 0.860454
Thread24, 0.974924, 0.091123, 0.883466
Thread25, 0.941780, 0.078099, 0.863506
Thread26, 0.678444, 0.055977, 0.622054
Thread27, 0.658956, 0.073999, 0.584876
Thread28, 0.652703, 0.066992, 0.584887
