Threadname, Real, User, Sys
Main, 1.403636, 2.056799, 19.559187
Thread0, 1.402625, 0.117005, 1.282825
Thread1, 1.341374, 0.172124, 1.168664
Thread2, 1.376925, 0.105940, 1.270039
Thread3, 1.376556, 0.105989, 1.269986
Thread4, 1.281590, 0.131151, 1.149631
Thread5, 1.379170, 0.134126, 1.244565
Thread6, 1.337986, 0.166170, 1.171456
Thread7, 1.372740, 0.123112, 1.249469
Thread8, 1.340535, 0.138958, 1.200498
Thread9, 1.373630, 0.097958, 1.275598
Thread10, 1.392222, 0.136960, 1.254430
Thread11, 1.288576, 0.120985, 1.167411
Thread12, 1.299649, 0.138982, 1.160375
Thread13, 1.376865, 0.139003, 1.237358
Thread14, 1.303355, 0.122023, 1.180322
Thread15, 1.371569, 0.105077, 1.266208
