Threadname, Real, User, Sys
Main, 0.780506, 2.195972, 8.532449
Thread0, 0.766647, 0.159958, 0.606516
Thread1, 0.730069, 0.120951, 0.608564
Thread2, 0.653818, 0.155968, 0.497440
Thread3, 0.645191, 0.165040, 0.479399
Thread4, 0.742273, 0.155967, 0.585309
Thread5, 0.630463, 0.150052, 0.480334
Thread6, 0.771539, 0.153020, 0.618272
Thread7, 0.779984, 0.164023, 0.615237
Thread8, 0.725909, 0.127888, 0.597283
Thread9, 0.724921, 0.138882, 0.585340
Thread10, 0.725747, 0.132864, 0.592204
Thread11, 0.646817, 0.155807, 0.490199
Thread12, 0.735840, 0.137932, 0.597487
Thread13, 0.724804, 0.131996, 0.592123
Thread14, 0.722899, 0.141999, 0.580943
