Threadname, Real, User, Sys
Main, 0.643486, 2.084118, 5.665966
Thread0, 0.604119, 0.163940, 0.440119
Thread1, 0.496235, 0.165913, 0.330063
Thread2, 0.597167, 0.141143, 0.455767
Thread3, 0.600597, 0.181229, 0.418698
Thread4, 0.633321, 0.197238, 0.435601
Thread5, 0.643032, 0.181196, 0.461592
Thread6, 0.587323, 0.150173, 0.436589
Thread7, 0.589451, 0.147148, 0.441566
Thread8, 0.578427, 0.130996, 0.446621
Thread9, 0.578158, 0.142050, 0.435614
Thread10, 0.624847, 0.161030, 0.463527
Thread11, 0.594298, 0.163035, 0.430516
Thread12, 0.622187, 0.157020, 0.464502
