Threadname, Real, User, Sys
Main, 0.749112, 2.054565, 9.704465
Thread0, 0.627887, 0.116716, 0.510482
Thread1, 0.426050, 0.134601, 0.291418
Thread2, 0.730839, 0.121700, 0.608368
Thread3, 0.733894, 0.089783, 0.643270
Thread4, 0.731077, 0.123822, 0.606332
Thread5, 0.748092, 0.128821, 0.619089
Thread6, 0.741153, 0.101954, 0.638952
Thread7, 0.725535, 0.100946, 0.623919
Thread8, 0.724791, 0.110796, 0.613012
Thread9, 0.713618, 0.100765, 0.611955
Thread10, 0.718161, 0.100768, 0.616704
Thread11, 0.404306, 0.116734, 0.286923
Thread12, 0.714455, 0.100823, 0.612898
Thread13, 0.410880, 0.126734, 0.283837
Thread14, 0.748209, 0.134742, 0.612734
Thread15, 0.731307, 0.115848, 0.614760
Thread16, 0.407682, 0.129779, 0.277786
Thread17, 0.719737, 0.096897, 0.622522
