Threadname, Real, User, Sys
Main, 1.054474, 2.865369, 25.399777
Thread0, 1.027425, 0.126050, 0.901620
Thread1, 0.722524, 0.068020, 0.653654
Thread2, 1.021896, 0.083968, 0.937543
Thread3, 1.017982, 0.104892, 0.911154
Thread4, 1.019813, 0.107118, 0.899435
Thread5, 1.035505, 0.105108, 0.929238
Thread6, 1.053794, 0.136949, 0.915593
Thread7, 0.738224, 0.092155, 0.645312
Thread8, 0.720193, 0.084881, 0.635223
Thread9, 1.053046, 0.110919, 0.941162
Thread10, 1.043391, 0.095916, 0.947139
Thread11, 0.735594, 0.082989, 0.652302
Thread12, 1.043421, 0.120940, 0.921735
Thread13, 0.731562, 0.081987, 0.649108
Thread14, 0.999992, 0.096003, 0.903155
Thread15, 0.733691, 0.070096, 0.663267
Thread16, 1.003431, 0.084008, 0.918686
Thread17, 1.051065, 0.103041, 0.946627
Thread18, 1.002319, 0.071037, 0.930845
Thread19, 0.779417, 0.062124, 0.715717
Thread20, 0.855502, 0.088139, 0.766531
Thread21, 1.034894, 0.118143, 0.916368
Thread22, 1.043875, 0.098134, 0.945584
Thread23, 1.025540, 0.105146, 0.919511
Thread24, 1.042542, 0.095125, 0.946429
Thread25, 1.019888, 0.101083, 0.918060
Thread26, 1.003281, 0.095054, 0.894515
Thread27, 0.729826, 0.068145, 0.656724
Thread28, 1.031939, 0.106159, 0.920562
Thread29, 0.983156, 0.097158, 0.885634
