Threadname, Real, User, Sys
Main, 0.765954, 3.289564, 22.857877
Thread0, 0.760036, 0.058812, 0.692741
Thread1, 0.752765, 0.059847, 0.692822
Thread2, 0.655509, 0.081851, 0.572913
Thread3, 0.734873, 0.116801, 0.617758
Thread4, 0.711282, 0.109850, 0.600454
Thread5, 0.740310, 0.118866, 0.620519
Thread6, 0.735241, 0.122885, 0.611630
Thread7, 0.734220, 0.096894, 0.636558
Thread8, 0.740315, 0.099679, 0.639425
Thread9, 0.670039, 0.081815, 0.587431
Thread10, 0.691948, 0.069752, 0.621536
Thread11, 0.704173, 0.097777, 0.605356
Thread12, 0.674643, 0.084802, 0.589359
Thread13, 0.722930, 0.122698, 0.599291
Thread14, 0.720837, 0.120721, 0.599491
Thread15, 0.758172, 0.063862, 0.693384
Thread16, 0.721674, 0.110744, 0.610436
Thread17, 0.752456, 0.073869, 0.678232
Thread18, 0.693644, 0.102825, 0.590203
Thread19, 0.754124, 0.068879, 0.685108
Thread20, 0.722752, 0.089961, 0.631966
Thread21, 0.750073, 0.057958, 0.691840
Thread22, 0.667507, 0.076939, 0.589794
Thread23, 0.751110, 0.066943, 0.683744
Thread24, 0.724361, 0.088923, 0.634652
Thread25, 0.692124, 0.083915, 0.607592
Thread26, 0.751428, 0.065919, 0.684633
Thread27, 0.710335, 0.103893, 0.605584
Thread28, 0.754713, 0.074912, 0.679524
Thread29, 0.725477, 0.121868, 0.603493
Thread30, 0.744872, 0.144809, 0.599354
Thread31, 0.755345, 0.064912, 0.690352
Thread32, 0.756049, 0.060913, 0.694328
Thread33, 0.752896, 0.077888, 0.673958
Thread34, 0.733186, 0.127828, 0.604294
Thread35, 0.734505, 0.111948, 0.621890
