Threadname, Real, User, Sys
Main, 0.619134, 2.107589, 5.179778
Thread0, 0.618576, 0.169198, 0.448960
Thread1, 0.617425, 0.183300, 0.434051
Thread2, 0.609238, 0.150203, 0.458080
Thread3, 0.606066, 0.181297, 0.423963
Thread4, 0.606151, 0.168298, 0.436911
Thread5, 0.599521, 0.179318, 0.419834
Thread6, 0.603562, 0.185311, 0.417792
Thread7, 0.604083, 0.172278, 0.431775
Thread8, 0.604243, 0.205519, 0.398438
Thread9, 0.607676, 0.168382, 0.438526
Thread10, 0.604090, 0.165313, 0.438618
Thread11, 0.605822, 0.175421, 0.429440
