Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.186852, 0.009669, 0.161194, 0.196739, 0.020000, 0.195886
Thread1, 0.190999, 0.019777, 0.190217, 0.194630, 0.020027, 0.158368
Thread2, 0.164803, 0.022024, 0.130126, 0.176472, 0.029855, 0.164077
Thread3, 0.180138, 0.021345, 0.153697, 0.212463, 0.057891, 0.146067
Thread4, 0.175195, 0.023978, 0.141054, 0.199985, 0.051011, 0.162075
Thread5, 0.181038, 0.022959, 0.142714, 0.216247, 0.063834, 0.126017
Thread6, 0.181114, 0.025070, 0.154990, 0.214132, 0.071522, 0.169367
Thread7, 0.180402, 0.026751, 0.151806, 0.214610, 0.043752, 0.152468
Thread8, 0.181343, 0.024717, 0.166255, 0.217393, 0.046749, 0.156410
Thread9, 0.167235, 0.020202, 0.143923, 0.183354, 0.033535, 0.139212
Thread10, 0.172144, 0.014145, 0.151257, 0.190936, 0.026739, 0.171900
Thread11, 0.176701, 0.019107, 0.170059, 0.196138, 0.049866, 0.137521
Thread12, 0.172070, 0.017122, 0.131196, 0.184428, 0.044601, 0.157665
Thread13, 0.172823, 0.026024, 0.165048, 0.208676, 0.055510, 0.137825
Thread14, 0.172466, 0.020183, 0.171217, 0.207289, 0.050349, 0.142876
Thread15, 0.188793, 0.014664, 0.174948, 0.204240, 0.022977, 0.173686
Thread16, 0.174712, 0.020866, 0.139117, 0.213339, 0.056584, 0.155321
Thread17, 0.192264, 0.022019, 0.165984, 0.192400, 0.023002, 0.175719
Thread18, 0.172543, 0.021107, 0.153884, 0.192768, 0.048836, 0.133126
Thread19, 0.192159, 0.015127, 0.171138, 0.194119, 0.027045, 0.162422
Thread20, 0.180249, 0.019297, 0.150024, 0.204814, 0.039621, 0.171860
Thread21, 0.189459, 0.011680, 0.170995, 0.195270, 0.017057, 0.174202
Thread22, 0.165748, 0.021896, 0.153781, 0.183371, 0.030941, 0.123645
Thread23, 0.191790, 0.017981, 0.162704, 0.192058, 0.019913, 0.160064
Thread24, 0.181743, 0.013000, 0.182562, 0.205066, 0.050986, 0.146241
Thread25, 0.171060, 0.016880, 0.158136, 0.192793, 0.039941, 0.135914
Thread26, 0.189316, 0.017006, 0.166572, 0.195004, 0.020994, 0.173314
Thread27, 0.176784, 0.021916, 0.147324, 0.198055, 0.043033, 0.162054
Thread28, 0.188987, 0.021114, 0.168890, 0.199446, 0.029978, 0.166294
Thread29, 0.183655, 0.019195, 0.159329, 0.204450, 0.046122, 0.139815
Thread30, 0.182094, 0.038839, 0.154140, 0.214972, 0.059473, 0.167305
Thread31, 0.190672, 0.020880, 0.169040, 0.197488, 0.014028, 0.187957
Thread32, 0.194814, 0.016984, 0.177593, 0.192723, 0.019984, 0.171951
Thread33, 0.187806, 0.018982, 0.161871, 0.205957, 0.030918, 0.179059
Thread34, 0.180045, 0.024961, 0.167092, 0.213251, 0.062162, 0.154138
Thread35, 0.180092, 0.033066, 0.149796, 0.218062, 0.048898, 0.161535
