Threadname, Real, User, Sys
Main, 0.886567, 3.336037, 23.599366
Thread0, 0.497562, 0.078843, 0.389022
Thread1, 0.767133, 0.070878, 0.630987
Thread2, 0.801320, 0.075813, 0.725190
Thread3, 0.829227, 0.085907, 0.742925
Thread4, 0.876875, 0.121737, 0.752669
Thread5, 0.640949, 0.104925, 0.535813
Thread6, 0.867631, 0.121909, 0.744659
Thread7, 0.877171, 0.102903, 0.773618
Thread8, 0.879770, 0.124787, 0.754736
Thread9, 0.852629, 0.100755, 0.751649
Thread10, 0.858157, 0.084772, 0.772642
Thread11, 0.841886, 0.103778, 0.737626
Thread12, 0.858325, 0.104870, 0.752718
Thread13, 0.824887, 0.094814, 0.729572
Thread14, 0.866513, 0.131849, 0.733393
Thread15, 0.861334, 0.093903, 0.766440
Thread16, 0.854874, 0.106883, 0.747398
Thread17, 0.862749, 0.109879, 0.752350
Thread18, 0.874897, 0.109774, 0.764383
Thread19, 0.846448, 0.078828, 0.766627
Thread20, 0.885357, 0.087871, 0.797163
Thread21, 0.871728, 0.114829, 0.756066
Thread22, 0.876845, 0.103846, 0.772097
Thread23, 0.849738, 0.087944, 0.760780
Thread24, 0.447767, 0.091023, 0.338214
Thread25, 0.855822, 0.110949, 0.704823
Thread26, 0.472378, 0.072835, 0.391284
Thread27, 0.857256, 0.097943, 0.728800
Thread28, 0.833515, 0.078960, 0.720958
Thread29, 0.492937, 0.069959, 0.398936
Thread30, 0.828620, 0.102927, 0.706831
Thread31, 0.799556, 0.092943, 0.698832
Thread32, 0.472236, 0.076800, 0.383219
Thread33, 0.791732, 0.083896, 0.693855
Thread34, 0.466888, 0.051898, 0.404366
