Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.158243, 0.021995, 0.142384, 0.185367, 0.046941, 0.146508
Thread1, 0.156639, 0.017032, 0.133278, 0.178926, 0.049508, 0.147634
Thread2, 0.076255, 0.014980, 0.070008, 0.079825, 0.018974, 0.057030
Thread3, 0.077831, 0.019890, 0.059345, 0.084953, 0.015069, 0.057981
Thread4, 0.159832, 0.027887, 0.127352, 0.192805, 0.050940, 0.151104
Thread5, 0.156002, 0.027002, 0.125002, 0.188865, 0.049946, 0.135485
Thread6, 0.121591, 0.017938, 0.110488, 0.131088, 0.031972, 0.092558
Thread7, 0.158871, 0.023924, 0.137858, 0.185004, 0.048880, 0.141420
Thread8, 0.153836, 0.018780, 0.131735, 0.177434, 0.033921, 0.124078
Thread9, 0.146126, 0.015966, 0.117957, 0.150889, 0.028050, 0.135548
Thread10, 0.158624, 0.015024, 0.133591, 0.185112, 0.036635, 0.145296
Thread11, 0.158099, 0.022921, 0.132195, 0.181482, 0.038890, 0.130449
Thread12, 0.155359, 0.018066, 0.132526, 0.179702, 0.053493, 0.136475
Thread13, 0.154906, 0.027976, 0.132493, 0.170027, 0.031979, 0.127466
Thread14, 0.154373, 0.017041, 0.117308, 0.166529, 0.030068, 0.157906
Thread15, 0.156372, 0.019989, 0.132441, 0.172949, 0.021998, 0.137390
Thread16, 0.159120, 0.016969, 0.140156, 0.177025, 0.034975, 0.136831
Thread17, 0.155682, 0.029351, 0.133608, 0.175611, 0.036011, 0.147901
Thread18, 0.155746, 0.021134, 0.127833, 0.169850, 0.037663, 0.123167
Thread19, 0.159015, 0.018611, 0.153653, 0.175759, 0.037006, 0.147221
Thread20, 0.154914, 0.024026, 0.131155, 0.179780, 0.054588, 0.131558
Thread21, 0.155034, 0.017122, 0.151878, 0.188141, 0.036953, 0.151263
Thread22, 0.155947, 0.020035, 0.138573, 0.182223, 0.048802, 0.138528
Thread23, 0.156675, 0.021855, 0.122079, 0.179882, 0.036113, 0.135791
Thread24, 0.076225, 0.011002, 0.057671, 0.080864, 0.024881, 0.065114
Thread25, 0.152810, 0.012106, 0.131291, 0.183905, 0.065470, 0.125852
Thread26, 0.077364, 0.016220, 0.056402, 0.080593, 0.018990, 0.048998
Thread27, 0.076292, 0.024936, 0.058090, 0.080730, 0.027855, 0.052130
Thread28, 0.076354, 0.020377, 0.053615, 0.080683, 0.025975, 0.052028
Thread29, 0.076324, 0.024974, 0.060014, 0.081614, 0.024995, 0.061002
Thread30, 0.076665, 0.025579, 0.062387, 0.080951, 0.015080, 0.055920
Thread31, 0.076763, 0.015972, 0.060387, 0.080705, 0.019966, 0.072020
Thread32, 0.157193, 0.021985, 0.162933, 0.192718, 0.051945, 0.125073
Thread33, 0.155423, 0.017928, 0.122429, 0.175983, 0.057955, 0.137646
