Threadname, Real, User, Sys
Main, 1.099594, 2.766208, 28.700033
Thread0, 1.086060, 0.087732, 0.997992
Thread1, 0.869029, 0.088755, 0.779314
Thread2, 1.087476, 0.090847, 0.996034
Thread3, 1.093698, 0.097788, 0.995091
Thread4, 1.098996, 0.127840, 0.970710
Thread5, 1.094431, 0.142890, 0.950522
Thread6, 1.065752, 0.085950, 0.978787
Thread7, 1.083775, 0.111901, 0.970582
Thread8, 1.081250, 0.101714, 0.978436
Thread9, 1.080894, 0.078789, 1.001713
Thread10, 1.082908, 0.095898, 0.986765
Thread11, 1.077276, 0.079906, 0.996646
Thread12, 1.083926, 0.090884, 0.992492
Thread13, 1.082832, 0.111806, 0.970578
Thread14, 0.873539, 0.060889, 0.811707
Thread15, 1.087464, 0.122830, 0.963571
Thread16, 0.872675, 0.062899, 0.809420
Thread17, 1.068665, 0.083915, 0.984385
Thread18, 1.081027, 0.091878, 0.988059
Thread19, 0.873196, 0.070907, 0.801308
Thread20, 1.082705, 0.110885, 0.971249
Thread21, 0.871994, 0.060909, 0.810195
Thread22, 1.080917, 0.090879, 0.989059
Thread23, 0.871625, 0.063903, 0.807095
Thread24, 1.068877, 0.094860, 0.972981
Thread25, 0.871280, 0.055996, 0.814574
Thread26, 0.937987, 0.080934, 0.856591
Thread27, 1.078231, 0.099884, 0.977132
Thread28, 0.869103, 0.065937, 0.802567
Thread29, 1.040354, 0.089912, 0.949450
Thread30, 0.869283, 0.061935, 0.806363
