Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.247870, 0.025759, 0.225228, 0.260702, 0.046086, 0.226793
Thread1, 0.170094, 0.025995, 0.166850, 0.174272, 0.016121, 0.164996
Thread2, 0.252714, 0.023039, 0.240018, 0.261083, 0.031997, 0.195871
Thread3, 0.246093, 0.014996, 0.230150, 0.264727, 0.046045, 0.224682
Thread4, 0.247164, 0.031883, 0.216849, 0.259952, 0.050967, 0.200007
Thread5, 0.171597, 0.023874, 0.139780, 0.172394, 0.026844, 0.142020
Thread6, 0.242011, 0.014118, 0.202945, 0.252827, 0.026881, 0.246118
Thread7, 0.211273, 0.019013, 0.194871, 0.215920, 0.025831, 0.186920
Thread8, 0.249579, 0.018078, 0.229895, 0.258540, 0.031856, 0.218304
Thread9, 0.248508, 0.028060, 0.214347, 0.265413, 0.049710, 0.215032
Thread10, 0.250244, 0.024773, 0.211293, 0.264144, 0.043075, 0.223014
Thread11, 0.246700, 0.021035, 0.225903, 0.258929, 0.038787, 0.235203
Thread12, 0.176754, 0.014002, 0.164985, 0.178521, 0.015702, 0.163269
Thread13, 0.248510, 0.019038, 0.226744, 0.264503, 0.047816, 0.214311
Thread14, 0.239989, 0.020085, 0.235270, 0.247072, 0.028156, 0.220822
Thread15, 0.238393, 0.021938, 0.211225, 0.241936, 0.025109, 0.214864
Thread16, 0.245652, 0.023510, 0.213474, 0.254146, 0.032941, 0.204851
Thread17, 0.246907, 0.019724, 0.216483, 0.250508, 0.041034, 0.225921
Thread18, 0.246698, 0.018969, 0.250871, 0.256740, 0.034996, 0.212218
Thread19, 0.245572, 0.018947, 0.203123, 0.258522, 0.039931, 0.235016
Thread20, 0.245356, 0.026080, 0.235806, 0.258256, 0.041958, 0.217017
Thread21, 0.248034, 0.023109, 0.203036, 0.259031, 0.033993, 0.215149
Thread22, 0.237185, 0.027969, 0.205825, 0.249957, 0.042029, 0.190246
Thread23, 0.239950, 0.021078, 0.229009, 0.251497, 0.035018, 0.224975
Thread24, 0.245095, 0.022994, 0.222896, 0.259493, 0.039923, 0.223168
Thread25, 0.238043, 0.017213, 0.219750, 0.247943, 0.034128, 0.230730
Thread26, 0.172776, 0.010100, 0.170016, 0.173085, 0.017009, 0.141952
Thread27, 0.168222, 0.016863, 0.157194, 0.168303, 0.021074, 0.134765
Thread28, 0.165798, 0.020958, 0.138022, 0.167876, 0.021858, 0.143002
