Threadname, Real, User, Sys
Main, 1.316987, 2.142189, 33.793831
Thread0, 1.231142, 0.074990, 1.154674
Thread1, 1.264593, 0.084967, 1.178653
Thread2, 1.258358, 0.078044, 1.179523
Thread3, 1.253703, 0.069033, 1.183614
Thread4, 1.265241, 0.089038, 1.175435
Thread5, 1.265708, 0.105047, 1.160479
Thread6, 1.229637, 0.062043, 1.167447
Thread7, 1.253202, 0.084051, 1.168276
Thread8, 1.226419, 0.070929, 1.154468
Thread9, 1.313517, 0.083896, 1.229365
Thread10, 1.241157, 0.065913, 1.174463
Thread11, 1.258299, 0.100961, 1.156294
Thread12, 1.253403, 0.099997, 1.153276
Thread13, 1.311281, 0.077007, 1.233195
Thread14, 1.311699, 0.085959, 1.225172
Thread15, 1.316302, 0.095016, 1.221153
Thread16, 1.309886, 0.073029, 1.236092
Thread17, 1.307324, 0.058017, 1.249050
Thread18, 1.309744, 0.089034, 1.219969
Thread19, 1.310249, 0.065956, 1.243941
Thread20, 1.309445, 0.066069, 1.242837
Thread21, 1.305807, 0.079067, 1.225786
Thread22, 1.304800, 0.063060, 1.240738
Thread23, 1.304537, 0.065052, 1.238695
Thread24, 1.305087, 0.058983, 1.245712
Thread25, 1.304773, 0.065042, 1.239599
Thread26, 1.304987, 0.062046, 1.242537
Thread27, 1.304268, 0.068060, 1.235456
