Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.200582, 0.041709, 0.176166, 0.220729, 0.043006, 0.186682
Thread1, 0.199944, 0.025109, 0.152781, 0.217307, 0.034765, 0.176412
Thread2, 0.199210, 0.031723, 0.155401, 0.215166, 0.044973, 0.165723
Thread3, 0.195685, 0.022043, 0.172042, 0.211480, 0.033039, 0.168514
Thread4, 0.196480, 0.024126, 0.178064, 0.214936, 0.055871, 0.168013
Thread5, 0.200903, 0.032326, 0.183039, 0.221250, 0.032841, 0.164271
Thread6, 0.198452, 0.021281, 0.187864, 0.219973, 0.046361, 0.146957
Thread7, 0.195184, 0.025889, 0.193075, 0.208897, 0.028894, 0.172008
Thread8, 0.195963, 0.014941, 0.181052, 0.215229, 0.033724, 0.169919
Thread9, 0.202333, 0.031571, 0.164310, 0.214904, 0.045111, 0.165949
Thread10, 0.175245, 0.028106, 0.167866, 0.185444, 0.037940, 0.143372
Thread11, 0.198747, 0.029110, 0.159884, 0.223197, 0.053240, 0.176683
Thread12, 0.189803, 0.014063, 0.166910, 0.200828, 0.034711, 0.180516
Thread13, 0.195613, 0.023798, 0.161180, 0.219243, 0.051060, 0.173995
Thread14, 0.195220, 0.035100, 0.181939, 0.212327, 0.045720, 0.139509
Thread15, 0.128949, 0.023987, 0.098012, 0.134926, 0.028056, 0.089884
Thread16, 0.199709, 0.024167, 0.201933, 0.215743, 0.034955, 0.180010
Thread17, 0.193538, 0.030605, 0.159483, 0.206640, 0.039964, 0.174071
Thread18, 0.191438, 0.029938, 0.157964, 0.200752, 0.028035, 0.157818
Thread19, 0.198351, 0.023133, 0.166792, 0.212317, 0.045101, 0.148847
Thread20, 0.090613, 0.024355, 0.067574, 0.088128, 0.040631, 0.041420
Thread21, 0.197214, 0.030999, 0.161960, 0.213898, 0.038661, 0.153411
