Threadname, Real, User, Sys
Main, 1.249115, 2.014200, 21.588838
Thread0, 1.239465, 0.085902, 1.153574
Thread1, 0.827832, 0.107950, 0.719492
Thread2, 1.248744, 0.126926, 1.121395
Thread3, 1.126099, 0.125955, 0.999273
Thread4, 1.240214, 0.083983, 1.155350
Thread5, 1.025779, 0.124992, 0.900212
Thread6, 1.192007, 0.100978, 1.090224
Thread7, 1.241123, 0.077976, 1.162133
Thread8, 1.240750, 0.064904, 1.174966
Thread9, 1.239710, 0.072761, 1.166231
Thread10, 1.242296, 0.079801, 1.162336
Thread11, 1.241801, 0.092809, 1.148297
Thread12, 1.239595, 0.073786, 1.165037
Thread13, 1.241767, 0.079879, 1.161243
Thread14, 0.830143, 0.124892, 0.705185
Thread15, 1.238522, 0.091897, 1.146066
Thread16, 0.826340, 0.123075, 0.702675
Thread17, 1.235690, 0.065002, 1.169657
Thread18, 0.824078, 0.107062, 0.716578
Thread19, 1.238912, 0.088943, 1.149637
Thread20, 0.821671, 0.111057, 0.710492
