Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.179922, 0.051925, 0.131137, 0.195349, 0.065150, 0.130614
Thread1, 0.172995, 0.065585, 0.111178, 0.179639, 0.067623, 0.104445
Thread2, 0.177193, 0.064877, 0.112087, 0.190852, 0.064376, 0.126487
Thread3, 0.169290, 0.054855, 0.103290, 0.174454, 0.060575, 0.108383
Thread4, 0.177646, 0.063448, 0.124645, 0.185845, 0.069630, 0.108354
Thread5, 0.176731, 0.054586, 0.114518, 0.190750, 0.079255, 0.117846
Thread6, 0.175231, 0.061669, 0.120389, 0.186966, 0.065594, 0.107297
Thread7, 0.174305, 0.051238, 0.112641, 0.187581, 0.080326, 0.132767
Thread8, 0.173805, 0.059107, 0.120784, 0.185524, 0.056996, 0.115859
Thread9, 0.166100, 0.063818, 0.097320, 0.185195, 0.060678, 0.106093
