Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.312034, 0.023553, 0.307754, 0.328969, 0.044808, 0.248119
Thread1, 0.312637, 0.019239, 0.281402, 0.321454, 0.036875, 0.280682
Thread2, 0.309194, 0.020981, 0.314236, 0.317797, 0.033881, 0.273011
Thread3, 0.268745, 0.012007, 0.243990, 0.269316, 0.018985, 0.246655
Thread4, 0.309835, 0.021263, 0.287153, 0.329110, 0.045407, 0.273945
Thread5, 0.314014, 0.024070, 0.275147, 0.341483, 0.068792, 0.303704
Thread6, 0.325617, 0.022956, 0.309695, 0.327479, 0.038852, 0.301648
Thread7, 0.293392, 0.013009, 0.272604, 0.298324, 0.028951, 0.250879
Thread8, 0.309550, 0.016850, 0.307711, 0.333413, 0.046017, 0.303939
Thread9, 0.309180, 0.014018, 0.282969, 0.318144, 0.043715, 0.295535
Thread10, 0.307654, 0.011023, 0.276988, 0.318301, 0.033963, 0.313486
Thread11, 0.270546, 0.014054, 0.259171, 0.269831, 0.022987, 0.229633
Thread12, 0.312141, 0.018845, 0.273237, 0.324031, 0.040967, 0.297220
Thread13, 0.309664, 0.018068, 0.279670, 0.327954, 0.046709, 0.280856
Thread14, 0.270171, 0.017802, 0.251135, 0.274210, 0.024981, 0.243216
Thread15, 0.311821, 0.019062, 0.294625, 0.336931, 0.050695, 0.287369
Thread16, 0.271073, 0.028853, 0.244390, 0.273081, 0.021912, 0.237787
Thread17, 0.282590, 0.023010, 0.269502, 0.291541, 0.023993, 0.255989
Thread18, 0.311581, 0.013013, 0.313805, 0.334228, 0.045821, 0.266706
Thread19, 0.314199, 0.016659, 0.288811, 0.330860, 0.049773, 0.294897
Thread20, 0.311370, 0.011976, 0.305577, 0.316629, 0.028946, 0.287403
Thread21, 0.312161, 0.018962, 0.257905, 0.323087, 0.033883, 0.319311
Thread22, 0.314622, 0.016982, 0.273915, 0.323590, 0.028914, 0.316871
Thread23, 0.309809, 0.012990, 0.263011, 0.327786, 0.035874, 0.301071
Thread24, 0.308979, 0.022961, 0.270961, 0.328739, 0.039934, 0.292660
Thread25, 0.272508, 0.018949, 0.282004, 0.272086, 0.025013, 0.232827
Thread26, 0.268792, 0.016989, 0.237925, 0.270991, 0.026018, 0.262227
Thread27, 0.271227, 0.013967, 0.235996, 0.269262, 0.026990, 0.264189
Thread28, 0.270214, 0.019105, 0.241846, 0.268197, 0.025704, 0.254763
Thread29, 0.270092, 0.016069, 0.235181, 0.267213, 0.021971, 0.258004
Thread30, 0.273694, 0.014906, 0.261067, 0.274970, 0.025947, 0.236115
Thread31, 0.273346, 0.015018, 0.254003, 0.275962, 0.021943, 0.273207
