Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.160624, 0.042444, 0.109691, 0.173315, 0.059898, 0.125014
Thread1, 0.156812, 0.039935, 0.121430, 0.175900, 0.065312, 0.114629
Thread2, 0.155950, 0.034793, 0.112201, 0.169058, 0.052909, 0.115347
Thread3, 0.157919, 0.051356, 0.114120, 0.169295, 0.061213, 0.099741
Thread4, 0.154662, 0.045898, 0.097135, 0.168268, 0.058249, 0.105859
Thread5, 0.151880, 0.055746, 0.094236, 0.167626, 0.052880, 0.117307
Thread6, 0.154464, 0.055385, 0.106621, 0.169108, 0.056101, 0.107895
Thread7, 0.154086, 0.040333, 0.122795, 0.168587, 0.052267, 0.102888
Thread8, 0.155355, 0.045991, 0.095836, 0.166876, 0.072952, 0.100043
Thread9, 0.154438, 0.049817, 0.127179, 0.170622, 0.048033, 0.109928
Thread10, 0.153289, 0.047514, 0.113476, 0.167589, 0.058065, 0.103802
Thread11, 0.153668, 0.040968, 0.106929, 0.168235, 0.054833, 0.106065
