Threadname, Real, User, Sys
Main, 0.713608, 2.680006, 14.346046
Thread0, 0.706789, 0.122834, 0.584269
Thread1, 0.492855, 0.082891, 0.409302
Thread2, 0.713349, 0.124889, 0.588255
Thread3, 0.490423, 0.082882, 0.407181
Thread4, 0.706117, 0.119906, 0.585151
Thread5, 0.675825, 0.102966, 0.572054
Thread6, 0.703862, 0.088960, 0.613996
Thread7, 0.701963, 0.112107, 0.588757
Thread8, 0.696517, 0.105800, 0.589987
Thread9, 0.703066, 0.113881, 0.588197
Thread10, 0.665399, 0.101992, 0.562833
Thread11, 0.668604, 0.095001, 0.572817
Thread12, 0.657538, 0.095016, 0.561828
Thread13, 0.704523, 0.107874, 0.595862
Thread14, 0.491620, 0.101090, 0.389679
Thread15, 0.688067, 0.094027, 0.593516
Thread16, 0.693223, 0.104077, 0.588690
Thread17, 0.590105, 0.095085, 0.494551
Thread18, 0.693251, 0.118079, 0.574516
Thread19, 0.479809, 0.072062, 0.407497
Thread20, 0.701575, 0.117025, 0.584288
Thread21, 0.689728, 0.105045, 0.584405
Thread22, 0.689437, 0.110029, 0.579367
Thread23, 0.689228, 0.090019, 0.598322
Thread24, 0.680615, 0.110016, 0.570223
Thread25, 0.653020, 0.101017, 0.551192
