Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.158057, 0.033107, 0.116006, 0.193463, 0.067090, 0.134967
Thread1, 0.077445, 0.021005, 0.043449, 0.079912, 0.036974, 0.049996
Thread2, 0.157795, 0.033745, 0.138233, 0.175359, 0.053936, 0.135624
Thread3, 0.159890, 0.024112, 0.129863, 0.183582, 0.042972, 0.118996
Thread4, 0.072907, 0.023763, 0.054675, 0.081179, 0.027115, 0.053870
Thread5, 0.157264, 0.036053, 0.125323, 0.174875, 0.050002, 0.128979
Thread6, 0.159067, 0.019538, 0.140346, 0.184953, 0.038399, 0.140904
Thread7, 0.159273, 0.027958, 0.115018, 0.184883, 0.046051, 0.143922
Thread8, 0.135890, 0.027146, 0.111147, 0.158377, 0.043097, 0.111893
Thread9, 0.160660, 0.017000, 0.144987, 0.186501, 0.051622, 0.147297
Thread10, 0.160483, 0.020704, 0.124432, 0.178974, 0.038864, 0.129038
Thread11, 0.159098, 0.020179, 0.142814, 0.178310, 0.042624, 0.129358
Thread12, 0.158723, 0.031041, 0.149776, 0.183682, 0.053802, 0.127102
Thread13, 0.159348, 0.023941, 0.121861, 0.184543, 0.050932, 0.137029
Thread14, 0.156637, 0.029917, 0.125051, 0.176109, 0.049921, 0.126053
Thread15, 0.159672, 0.026112, 0.124095, 0.188519, 0.058913, 0.141058
Thread16, 0.154767, 0.024884, 0.116994, 0.165674, 0.032998, 0.128124
Thread17, 0.159322, 0.028964, 0.121015, 0.177047, 0.031977, 0.142973
Thread18, 0.160343, 0.025923, 0.136116, 0.177011, 0.048065, 0.131920
Thread19, 0.074824, 0.018001, 0.048995, 0.081111, 0.031844, 0.056826
Thread20, 0.160079, 0.026021, 0.151732, 0.183858, 0.035969, 0.134018
Thread21, 0.161137, 0.032959, 0.135892, 0.183414, 0.044877, 0.127984
Thread22, 0.157831, 0.025996, 0.117596, 0.178787, 0.044872, 0.143910
Thread23, 0.160567, 0.023928, 0.134850, 0.177080, 0.022894, 0.129214
