Threadname, Real, User, Sys
Main, 0.786632, 2.155583, 13.383877
Thread0, 0.772962, 0.085866, 0.686722
Thread1, 0.424182, 0.104812, 0.318956
Thread2, 0.774243, 0.092822, 0.680802
Thread3, 0.425347, 0.095850, 0.328890
Thread4, 0.774595, 0.088863, 0.684777
Thread5, 0.778440, 0.087849, 0.689674
Thread6, 0.774214, 0.095909, 0.677594
Thread7, 0.443929, 0.115817, 0.327620
Thread8, 0.591811, 0.113609, 0.477510
Thread9, 0.773527, 0.092709, 0.680658
Thread10, 0.421400, 0.107636, 0.313607
Thread11, 0.772842, 0.093724, 0.678596
Thread12, 0.412508, 0.085671, 0.326579
Thread13, 0.772831, 0.091712, 0.680429
Thread14, 0.437249, 0.103632, 0.333434
Thread15, 0.773373, 0.096803, 0.676312
Thread16, 0.771520, 0.077901, 0.693467
Thread17, 0.785701, 0.092835, 0.692072
Thread18, 0.776162, 0.083892, 0.692029
Thread19, 0.776881, 0.086947, 0.688853
Thread20, 0.772380, 0.072966, 0.698866
Thread21, 0.776897, 0.101939, 0.674841
Thread22, 0.755037, 0.084949, 0.669775
