Threadname, Real, User, Sys
Main, 1.317972, 1.958731, 22.506518
Thread0, 1.272954, 0.097841, 1.174998
Thread1, 1.310821, 0.108861, 1.201056
Thread2, 1.271129, 0.083810, 1.187208
Thread3, 1.315906, 0.110839, 1.204116
Thread4, 1.308744, 0.097880, 1.210001
Thread5, 1.313122, 0.091947, 1.220836
Thread6, 1.317404, 0.118941, 1.197773
Thread7, 1.308317, 0.106940, 1.200749
Thread8, 1.268899, 0.110741, 1.157694
Thread9, 1.309796, 0.099736, 1.209618
Thread10, 1.260695, 0.104822, 1.154807
Thread11, 1.309904, 0.099819, 1.209668
Thread12, 1.264327, 0.106805, 1.156813
Thread13, 1.313126, 0.104767, 1.207557
Thread14, 1.273424, 0.102863, 1.169577
Thread15, 1.268643, 0.096868, 1.170738
Thread16, 1.308531, 0.084929, 1.222585
Thread17, 1.239154, 0.131896, 1.106369
Thread18, 1.229504, 0.094918, 1.134325
