Threadname, Real, User, Sys
Main, 0.801843, 2.352215, 14.101306
Thread0, 0.801017, 0.122834, 0.677717
Thread1, 0.796441, 0.120838, 0.674770
Thread2, 0.791802, 0.116844, 0.674709
Thread3, 0.776450, 0.098903, 0.676606
Thread4, 0.782817, 0.113878, 0.668564
Thread5, 0.795424, 0.113881, 0.680542
Thread6, 0.794727, 0.117861, 0.676431
Thread7, 0.776434, 0.088905, 0.687432
Thread8, 0.785183, 0.085619, 0.698195
Thread9, 0.800101, 0.119678, 0.679434
Thread10, 0.691139, 0.102701, 0.587508
Thread11, 0.799548, 0.124675, 0.674487
Thread12, 0.754118, 0.079719, 0.673466
Thread13, 0.785815, 0.106698, 0.678343
Thread14, 0.783565, 0.114743, 0.668417
Thread15, 0.508040, 0.096790, 0.410546
Thread16, 0.790972, 0.100841, 0.689148
Thread17, 0.771767, 0.101842, 0.669145
Thread18, 0.756457, 0.095861, 0.659986
Thread19, 0.787960, 0.108793, 0.679135
Thread20, 0.335657, 0.111876, 0.222911
Thread21, 0.787919, 0.103948, 0.683804
