Threadname, Real, User, Sys
Main, 0.626374, 2.187848, 9.060780
Thread0, 0.625637, 0.136797, 0.487868
Thread1, 0.329706, 0.102857, 0.225972
Thread2, 0.609280, 0.113866, 0.495004
Thread3, 0.579860, 0.083877, 0.495877
Thread4, 0.590587, 0.106926, 0.482795
Thread5, 0.617495, 0.104912, 0.511734
Thread6, 0.620548, 0.120886, 0.498713
Thread7, 0.617094, 0.130875, 0.485666
Thread8, 0.585191, 0.109744, 0.474671
Thread9, 0.475722, 0.122754, 0.352735
Thread10, 0.582617, 0.078813, 0.503652
Thread11, 0.582968, 0.116690, 0.465528
Thread12, 0.599273, 0.114725, 0.483515
Thread13, 0.603980, 0.120763, 0.482470
Thread14, 0.322990, 0.114734, 0.207619
Thread15, 0.581954, 0.110835, 0.470450
Thread16, 0.580754, 0.110820, 0.469372
Thread17, 0.580557, 0.099834, 0.480307
Thread18, 0.582852, 0.082844, 0.499245
Thread19, 0.578159, 0.100818, 0.477225
