Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.256144, 0.029008, 0.222896, 0.289565, 0.059084, 0.234708
Thread1, 0.184491, 0.017788, 0.153022, 0.190689, 0.020129, 0.189574
Thread2, 0.256092, 0.016052, 0.218204, 0.286051, 0.045885, 0.242866
Thread3, 0.256270, 0.020174, 0.220771, 0.279088, 0.055163, 0.219998
Thread4, 0.263805, 0.018007, 0.233477, 0.282340, 0.054817, 0.208087
Thread5, 0.258663, 0.034139, 0.225957, 0.284542, 0.047669, 0.244935
Thread6, 0.262650, 0.017078, 0.237835, 0.308897, 0.086873, 0.242590
Thread7, 0.190050, 0.022756, 0.159796, 0.191401, 0.029021, 0.138741
Thread8, 0.185656, 0.025175, 0.177069, 0.186529, 0.026957, 0.140758
Thread9, 0.264316, 0.031609, 0.242402, 0.291314, 0.050024, 0.219930
Thread10, 0.261367, 0.019074, 0.261948, 0.287306, 0.048059, 0.213718
Thread11, 0.186499, 0.025354, 0.155729, 0.191472, 0.024069, 0.181719
Thread12, 0.261491, 0.026963, 0.209026, 0.297227, 0.062626, 0.244341
Thread13, 0.188457, 0.022116, 0.166941, 0.189617, 0.025637, 0.135168
Thread14, 0.251857, 0.022181, 0.243066, 0.274701, 0.051692, 0.226330
Thread15, 0.188228, 0.023533, 0.150940, 0.190633, 0.023041, 0.164839
Thread16, 0.251994, 0.015048, 0.220674, 0.275305, 0.044957, 0.238967
Thread17, 0.260410, 0.013992, 0.235857, 0.300553, 0.061806, 0.243981
Thread18, 0.254482, 0.014830, 0.267432, 0.265934, 0.031935, 0.205036
Thread19, 0.197110, 0.005997, 0.166996, 0.206913, 0.022147, 0.182266
Thread20, 0.216811, 0.019125, 0.228187, 0.234070, 0.043964, 0.189646
Thread21, 0.255283, 0.018944, 0.232288, 0.296292, 0.072115, 0.269383
Thread22, 0.262982, 0.017116, 0.238946, 0.277648, 0.051947, 0.259851
Thread23, 0.257149, 0.018980, 0.229842, 0.283280, 0.055175, 0.218997
Thread24, 0.260476, 0.018031, 0.247009, 0.286190, 0.042798, 0.235919
Thread25, 0.255583, 0.014177, 0.230837, 0.287019, 0.059876, 0.228471
Thread26, 0.262797, 0.019984, 0.229274, 0.269342, 0.045964, 0.228061
Thread27, 0.184215, 0.018921, 0.172082, 0.192053, 0.019987, 0.166812
Thread28, 0.259550, 0.024061, 0.235143, 0.283809, 0.050051, 0.219826
Thread29, 0.246787, 0.011128, 0.212926, 0.270471, 0.049123, 0.212080
