Threadname, Real, User, Sys
Main, 0.658195, 2.899899, 15.485871
Thread0, 0.643822, 0.100806, 0.542841
Thread1, 0.637514, 0.091742, 0.545278
Thread2, 0.298694, 0.054891, 0.243074
Thread3, 0.307174, 0.062895, 0.240764
Thread4, 0.651498, 0.111916, 0.538832
Thread5, 0.643554, 0.099930, 0.542823
Thread6, 0.478554, 0.090920, 0.386805
Thread7, 0.644455, 0.107909, 0.535684
Thread8, 0.626944, 0.078856, 0.547744
Thread9, 0.582250, 0.067811, 0.513843
Thread10, 0.647931, 0.089792, 0.557702
Thread11, 0.643369, 0.088820, 0.553637
Thread12, 0.635260, 0.096797, 0.537656
Thread13, 0.623052, 0.090770, 0.531618
Thread14, 0.617290, 0.075828, 0.540592
Thread15, 0.630343, 0.074889, 0.554469
Thread16, 0.641842, 0.078892, 0.562385
Thread17, 0.631086, 0.093857, 0.536413
Thread18, 0.625609, 0.086869, 0.538366
Thread19, 0.637411, 0.086851, 0.550274
Thread20, 0.633870, 0.111826, 0.521303
Thread21, 0.640638, 0.082859, 0.557236
Thread22, 0.634154, 0.101833, 0.532080
Thread23, 0.633538, 0.077964, 0.554971
Thread24, 0.300543, 0.063907, 0.235752
Thread25, 0.624363, 0.100826, 0.522242
Thread26, 0.301803, 0.071873, 0.229684
Thread27, 0.300018, 0.075821, 0.223555
Thread28, 0.297008, 0.073786, 0.222440
Thread29, 0.301616, 0.078747, 0.222405
Thread30, 0.301288, 0.073755, 0.227198
Thread31, 0.298386, 0.051939, 0.245814
Thread32, 0.645872, 0.098945, 0.546846
Thread33, 0.626865, 0.098949, 0.527820
