Threadname, Real, User, Sys
Main, 0.652875, 2.557081, 12.206181
Thread0, 0.602970, 0.090036, 0.512858
Thread1, 0.620074, 0.086002, 0.533824
Thread2, 0.608753, 0.096044, 0.511804
Thread3, 0.348889, 0.109876, 0.238915
Thread4, 0.546457, 0.087077, 0.458613
Thread5, 0.635682, 0.120090, 0.515545
Thread6, 0.631617, 0.095060, 0.536573
Thread7, 0.630407, 0.104055, 0.525481
Thread8, 0.640147, 0.123928, 0.515532
Thread9, 0.633418, 0.109949, 0.522483
Thread10, 0.646187, 0.105900, 0.539358
Thread11, 0.642439, 0.117904, 0.524302
Thread12, 0.585551, 0.096898, 0.488308
Thread13, 0.325661, 0.090791, 0.234597
Thread14, 0.629228, 0.092009, 0.536200
Thread15, 0.639545, 0.107002, 0.532177
Thread16, 0.620372, 0.116010, 0.504090
Thread17, 0.633852, 0.093976, 0.539074
Thread18, 0.618654, 0.089968, 0.527994
Thread19, 0.636462, 0.101121, 0.534825
Thread20, 0.611454, 0.094105, 0.516777
Thread21, 0.638205, 0.094097, 0.543768
Thread22, 0.643134, 0.115104, 0.527618
Thread23, 0.650897, 0.121982, 0.528074
Thread24, 0.341866, 0.095672, 0.245272
