Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.315012, 0.024076, 0.280433, 0.318443, 0.026945, 0.298539
Thread1, 0.210829, 0.030965, 0.170937, 0.221592, 0.031970, 0.200616
Thread2, 0.313167, 0.032974, 0.274959, 0.329123, 0.040774, 0.286686
Thread3, 0.286224, 0.031133, 0.255674, 0.297097, 0.042741, 0.255214
Thread4, 0.315979, 0.021878, 0.291435, 0.318897, 0.023096, 0.291417
Thread5, 0.258799, 0.029993, 0.230087, 0.272607, 0.042828, 0.241308
Thread6, 0.304124, 0.033589, 0.289775, 0.306148, 0.027117, 0.274113
Thread7, 0.314457, 0.018006, 0.297339, 0.318191, 0.024002, 0.277872
Thread8, 0.313524, 0.018028, 0.302478, 0.319122, 0.016039, 0.296737
Thread9, 0.316403, 0.019995, 0.310329, 0.316717, 0.018770, 0.288301
Thread10, 0.315179, 0.022100, 0.283116, 0.322654, 0.026287, 0.291470
Thread11, 0.311571, 0.017261, 0.281958, 0.328614, 0.039320, 0.290973
Thread12, 0.315628, 0.016958, 0.296925, 0.316808, 0.025000, 0.314026
Thread13, 0.313659, 0.023254, 0.270316, 0.324648, 0.023323, 0.301372
Thread14, 0.213897, 0.032578, 0.196522, 0.221906, 0.043102, 0.176023
Thread15, 0.313995, 0.026981, 0.292229, 0.317231, 0.027859, 0.278988
Thread16, 0.212322, 0.029995, 0.179085, 0.220834, 0.035987, 0.196846
Thread17, 0.313225, 0.016934, 0.300025, 0.313806, 0.017809, 0.265677
Thread18, 0.211952, 0.030139, 0.179881, 0.220819, 0.032830, 0.208007
Thread19, 0.315376, 0.023510, 0.290635, 0.317757, 0.032943, 0.300884
Thread20, 0.210064, 0.032902, 0.163228, 0.217828, 0.030153, 0.177827
