Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.161721, 0.036912, 0.123055, 0.168562, 0.026431, 0.131736
Thread1, 0.113853, 0.035240, 0.082519, 0.117615, 0.040066, 0.080915
Thread2, 0.185322, 0.027212, 0.166922, 0.199365, 0.045986, 0.148780
Thread3, 0.187399, 0.025030, 0.160901, 0.195284, 0.030040, 0.154015
Thread4, 0.186104, 0.031527, 0.145510, 0.191838, 0.042008, 0.169891
Thread5, 0.187992, 0.032955, 0.158089, 0.202101, 0.045948, 0.156033
Thread6, 0.187909, 0.026998, 0.164975, 0.195858, 0.025964, 0.159815
Thread7, 0.183069, 0.030993, 0.162975, 0.191083, 0.032992, 0.151008
Thread8, 0.185244, 0.035080, 0.154664, 0.189985, 0.030995, 0.155208
Thread9, 0.181843, 0.029076, 0.144917, 0.187742, 0.032914, 0.149090
Thread10, 0.183058, 0.025985, 0.179004, 0.188418, 0.030842, 0.157148
Thread11, 0.102924, 0.032752, 0.069252, 0.113436, 0.035996, 0.075774
Thread12, 0.180628, 0.031761, 0.158241, 0.187730, 0.037058, 0.157635
Thread13, 0.103390, 0.034727, 0.062898, 0.115071, 0.038990, 0.074779
Thread14, 0.189394, 0.030775, 0.161552, 0.200815, 0.057650, 0.139351
Thread15, 0.183052, 0.034648, 0.142336, 0.196278, 0.038012, 0.169952
Thread16, 0.103600, 0.037103, 0.064090, 0.114740, 0.036761, 0.073228
Thread17, 0.182359, 0.015036, 0.139694, 0.190672, 0.039993, 0.175005
