Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.177497, 0.023009, 0.161265, 0.194956, 0.038692, 0.145241
Thread1, 0.165063, 0.025014, 0.148962, 0.171770, 0.030090, 0.130947
Thread2, 0.250025, 0.018130, 0.234845, 0.272053, 0.042303, 0.250658
Thread3, 0.247675, 0.017029, 0.222905, 0.265599, 0.038818, 0.220069
Thread4, 0.244880, 0.011087, 0.248898, 0.272619, 0.041912, 0.237832
Thread5, 0.254265, 0.013017, 0.207661, 0.288388, 0.060906, 0.240157
Thread6, 0.255749, 0.023974, 0.271072, 0.298796, 0.077045, 0.227627
Thread7, 0.246962, 0.027049, 0.205907, 0.262503, 0.041014, 0.222043
Thread8, 0.257115, 0.028970, 0.221970, 0.290835, 0.066064, 0.225514
Thread9, 0.254943, 0.020991, 0.248508, 0.291211, 0.055965, 0.219054
Thread10, 0.251359, 0.019191, 0.222015, 0.275614, 0.043089, 0.240772
Thread11, 0.246316, 0.016122, 0.252509, 0.274802, 0.039979, 0.200015
Thread12, 0.247421, 0.017898, 0.215142, 0.281237, 0.056962, 0.224025
Thread13, 0.246231, 0.014154, 0.228070, 0.274728, 0.060576, 0.231759
Thread14, 0.248366, 0.016019, 0.219800, 0.272295, 0.033093, 0.242030
Thread15, 0.157905, 0.016196, 0.143873, 0.165080, 0.026939, 0.136060
Thread16, 0.253086, 0.019981, 0.247532, 0.266312, 0.024017, 0.224101
Thread17, 0.251353, 0.017008, 0.225963, 0.270710, 0.040968, 0.249110
Thread18, 0.251331, 0.021010, 0.234358, 0.274177, 0.061156, 0.216031
Thread19, 0.248929, 0.020803, 0.247019, 0.276716, 0.055057, 0.232420
Thread20, 0.249128, 0.017994, 0.224906, 0.272075, 0.047985, 0.245666
Thread21, 0.258022, 0.030086, 0.227839, 0.286219, 0.054977, 0.242883
Thread22, 0.204735, 0.026841, 0.177431, 0.226964, 0.036106, 0.182702
Thread23, 0.250555, 0.021072, 0.222231, 0.289848, 0.060690, 0.215030
Thread24, 0.164187, 0.031364, 0.138983, 0.172537, 0.024620, 0.147421
Thread25, 0.166894, 0.028166, 0.150889, 0.170365, 0.037010, 0.144896
Thread26, 0.162874, 0.023987, 0.133906, 0.167120, 0.033962, 0.132043
