Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.361249, 0.029922, 0.330264, 0.366386, 0.033992, 0.319548
Thread1, 0.340838, 0.048069, 0.333377, 0.351501, 0.053728, 0.292437
Thread2, 0.352634, 0.025835, 0.317156, 0.353153, 0.032584, 0.335113
Thread3, 0.361928, 0.035853, 0.336335, 0.350153, 0.032027, 0.307703
Thread4, 0.329432, 0.036017, 0.292407, 0.329520, 0.040080, 0.277161
Thread5, 0.350159, 0.025197, 0.341374, 0.355919, 0.037994, 0.305997
Thread6, 0.340410, 0.035996, 0.279386, 0.351652, 0.060009, 0.297996
Thread7, 0.349397, 0.035034, 0.309158, 0.352761, 0.041939, 0.320472
Thread8, 0.345423, 0.035379, 0.313675, 0.348207, 0.052870, 0.284781
Thread9, 0.349720, 0.025980, 0.295941, 0.352288, 0.038965, 0.335513
Thread10, 0.356335, 0.044095, 0.328752, 0.356264, 0.044745, 0.306164
Thread11, 0.327571, 0.031041, 0.285320, 0.337653, 0.045822, 0.290208
Thread12, 0.330130, 0.044896, 0.277394, 0.340589, 0.037308, 0.281929
Thread13, 0.349442, 0.036080, 0.316187, 0.355760, 0.039724, 0.310377
Thread14, 0.330818, 0.024008, 0.294464, 0.341908, 0.045886, 0.285147
Thread15, 0.350977, 0.030041, 0.314428, 0.351419, 0.028952, 0.321227
