Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 0.195486, 0.025033, 0.184924, 0.201205, 0.023145, 0.164760
Thread1, 0.108868, 0.018015, 0.072991, 0.116666, 0.039542, 0.084249
Thread2, 0.195078, 0.029902, 0.163081, 0.201650, 0.028006, 0.178974
Thread3, 0.108038, 0.020842, 0.080126, 0.116859, 0.034189, 0.080796
Thread4, 0.194122, 0.019995, 0.171011, 0.205468, 0.036898, 0.168090
Thread5, 0.195771, 0.015855, 0.161040, 0.206046, 0.032875, 0.176724
Thread6, 0.195409, 0.030061, 0.173402, 0.205056, 0.031826, 0.162143
Thread7, 0.112669, 0.032020, 0.074903, 0.121817, 0.039716, 0.078752
Thread8, 0.149207, 0.021033, 0.123163, 0.156277, 0.035110, 0.126803
Thread9, 0.195653, 0.016083, 0.162823, 0.201403, 0.038708, 0.171258
Thread10, 0.106700, 0.029024, 0.079965, 0.114531, 0.038894, 0.073113
Thread11, 0.194577, 0.013778, 0.158225, 0.201330, 0.033956, 0.187395
Thread12, 0.104435, 0.018033, 0.086952, 0.111913, 0.036935, 0.072049
Thread13, 0.195974, 0.030891, 0.178389, 0.203471, 0.025692, 0.170297
Thread14, 0.113091, 0.020790, 0.093196, 0.117777, 0.042638, 0.087355
Thread15, 0.192236, 0.019001, 0.165996, 0.207232, 0.044814, 0.173169
Thread16, 0.195022, 0.029979, 0.182452, 0.201081, 0.015073, 0.171820
Thread17, 0.197895, 0.024860, 0.188956, 0.208110, 0.035882, 0.173171
Thread18, 0.195226, 0.021888, 0.176182, 0.200146, 0.026945, 0.158031
Thread19, 0.196626, 0.020002, 0.169977, 0.202754, 0.028070, 0.167825
Thread20, 0.194573, 0.022092, 0.179984, 0.200113, 0.026990, 0.166016
Thread21, 0.197038, 0.032806, 0.170173, 0.201249, 0.032008, 0.175863
Thread22, 0.192505, 0.030004, 0.156984, 0.194822, 0.022993, 0.166930
