Threadname, Grad_Real, Grad_User, Grad_Sys, Coord_Real, Coord_User, Coord_Sys
Thread0, 2.670369, 0.980000, 1.324000, 2.673812, 0.940000, 1.412000
Thread1, 2.804872, 1.088000, 1.260000, 2.716832, 0.916000, 1.208000
Thread2, 2.850838, 0.984000, 1.244000, 2.648133, 1.004000, 1.240000
