Threadname, Real, User, Sys
Main, 0.651152, 2.416000, 0.000000
Thread0, 0.650989, 0.648000, 0.000000
Thread1, 0.570666, 0.564000, 0.000000
Thread2, 0.598970, 0.596000, 0.000000
Thread3, 0.603445, 0.596000, 0.000000
