Time, Iterate
0.000000, [0.214234, 0.076657, 0.076337, 0.213944]
0.025162, [0.381292, 0.148250, 0.147284, 0.381465]
0.041779, [0.512817, 0.214105, 0.212973, 0.513170]
0.056533, [0.616607, 0.274590, 0.273697, 0.616497]
0.071256, [0.698594, 0.330435, 0.329456, 0.698516]
0.085965, [0.762946, 0.381801, 0.380984, 0.762801]
0.100666, [0.813312, 0.429313, 0.428903, 0.813140]
0.115379, [0.853146, 0.473347, 0.472887, 0.853034]
0.130108, [0.884345, 0.513754, 0.513588, 0.884357]
0.145156, [0.909055, 0.550967, 0.550868, 0.909112]
0.159888, [0.928433, 0.585625, 0.585441, 0.928491]
0.174630, [0.943747, 0.617525, 0.617279, 0.943725]
0.189350, [0.955746, 0.646611, 0.646537, 0.955770]
0.204060, [0.965186, 0.674075, 0.673689, 0.965190]
0.218764, [0.972619, 0.699036, 0.698669, 0.972621]
0.233489, [0.978490, 0.721988, 0.721838, 0.978491]
0.248188, [0.983063, 0.743428, 0.743303, 0.983064]
0.262899, [0.986675, 0.763178, 0.762989, 0.986684]
0.277608, [0.989520, 0.781326, 0.781321, 0.989518]
0.292317, [0.991755, 0.798066, 0.798183, 0.991752]
0.307026, [0.993516, 0.813557, 0.813699, 0.993511]
0.321741, [0.994906, 0.827773, 0.828050, 0.994897]
0.336459, [0.995997, 0.840987, 0.841255, 0.995990]
0.351165, [0.996851, 0.853152, 0.853460, 0.996846]
0.365876, [0.997523, 0.864382, 0.864774, 0.997519]
0.380585, [0.998053, 0.874763, 0.875191, 0.998047]
0.395302, [0.998470, 0.884421, 0.884761, 0.998464]
0.410003, [0.998796, 0.893267, 0.893638, 0.998791]
0.424717, [0.999054, 0.901489, 0.901771, 0.999049]
0.439420, [0.999255, 0.909035, 0.909390, 0.999251]
0.454134, [0.999415, 0.916040, 0.916325, 0.999411]
0.468836, [0.999540, 0.922522, 0.922767, 0.999535]
0.484291, [0.999638, 0.928482, 0.928695, 0.999634]
0.500584, [0.999716, 0.933988, 0.934187, 0.999712]
0.516871, [0.999777, 0.939070, 0.939260, 0.999773]
0.533156, [0.999825, 0.943776, 0.943922, 0.999821]
0.548685, [0.999862, 0.948107, 0.948235, 0.999859]
0.563408, [0.999892, 0.952076, 0.952184, 0.999889]
0.578125, [0.999915, 0.955749, 0.955864, 0.999913]
0.592828, [0.999933, 0.959150, 0.959251, 0.999931]
0.607542, [0.999948, 0.962282, 0.962403, 0.999946]
0.622256, [0.999959, 0.965176, 0.965315, 0.999957]
0.636971, [0.999968, 0.967853, 0.967984, 0.999966]
0.651682, [0.999975, 0.970323, 0.970452, 0.999973]
0.666387, [0.999980, 0.972611, 0.972723, 0.999979]
0.681100, [0.999985, 0.974729, 0.974826, 0.999983]
0.695812, [0.999988, 0.976677, 0.976761, 0.999987]
0.710519, [0.999991, 0.978471, 0.978554, 0.999989]
0.725228, [0.999993, 0.980129, 0.980201, 0.999992]
0.739933, [0.999994, 0.981658, 0.981720, 0.999993]
